Category,Message
ham,Hello! Just wanted to check in and see how you're doing.
ham,Do you have any plans for the weekend?
spam,Urgent! Your account has been compromised. Click here to reset your password immediately.
ham,Can you send me the report by the end of the day?
spam,Congratulations! You've won a free iPhone. Click here to claim your prize.
ham,Just wanted to remind you about the meeting tomorrow.
ham,"Hey, I saw your post on LinkedIn. We should catch up sometime!"
spam,Your subscription is about to expire. Renew now to avoid losing access.
ham,Hope everything is going well on your side.
ham,Are you free for lunch tomorrow?
spam,You have a limited time offer to win a $1000 gift card. Claim it now!
ham,Just checking if you got my email about the project.
ham,Let me know if you want to grab coffee sometime this week.
spam,Urgent: Your package is on hold. Click here to verify your delivery details.
ham,Do you have the latest version of the presentation?
spam,Get a free trial of our premium service. Act now!
ham,Great job on the project. Let me know if you need any help with the next phase.
ham,Just wanted to know if you can attend the meeting next week.
spam,Limited offer: Get a $2000 loan with no credit check. Apply now!
ham,Can you please confirm the time for the meeting?
ham,Hope your week is going well so far.
spam,Exclusive deal: Get a 50% discount on all products. Buy now!
ham,Looking forward to seeing you at the event tomorrow.
ham,Can you send me your feedback on the proposal?
spam,You’ve been selected for an exclusive offer. Claim your prize today!
ham,Just wanted to say thanks for your help with the project.
spam,Your account has been flagged for suspicious activity. Confirm your identity now.
ham,Let me know if you have any questions about the schedule.
spam,Get a free consultation on your credit report. Call us today!
ham,I think the new design looks great. What's your opinion?
ham,Would you be interested in attending a conference next month?
spam,Congratulations! You've won a $500 Amazon gift card. Claim it before it expires.
ham,I’ve attached the files for your review.
spam,Act fast! This limited time offer will expire soon. Click here to claim your deal.
ham,Hope you’re having a great day so far.
spam,Important: Your account will be locked unless you verify your identity now.
ham,Do you have any updates on the project?
ham,Let's set up a call to discuss the details.
spam,You’ve won a free vacation! Click here to claim your prize.
ham,Looking forward to our meeting later today.
ham,Let me know if you're available to meet this week.
spam,Your payment is overdue. Pay now to avoid late fees.
ham,Could you send me the final version of the report?
ham,What time works best for you for a quick call?
spam,Hurry! Last chance to buy tickets for the exclusive event. Limited spots left!
ham,I hope everything is going smoothly with the team.
ham,Can you confirm your availability for the meeting?
spam,Your package is ready for delivery. Click here for tracking details.
ham,Would love to meet you for coffee next week!
spam,Unlock your financial freedom with a quick loan application. Apply now!
ham,Just wanted to confirm the time for our next meeting.
ham,Let me know if you need any assistance with the presentation.
spam,Urgent: Your account balance is negative. Click here to resolve it.
ham,Can you forward me the latest draft?
ham,Looking forward to catching up soon!
spam,Click here to claim your free vacation package. Don’t miss out!
ham,I’ve sent the email with all the details.
ham,Can we move our meeting to next Tuesday?
spam,Get a $500 bonus for signing up today. Limited offer!
ham,Hope to see you soon!
ham,Do you have the latest updates on the project?
spam,Warning: Your account has been suspended. Reactivate now by clicking here.
ham,Let me know if you can make it to the meeting tomorrow.
ham,Looking forward to hearing your thoughts on the proposal.
spam,"Congratulations, you’ve been selected for a special offer. Claim it now!"
ham,Hope you're doing well. Any updates on the project?
spam,This is your final notice to claim your prize. Don’t miss out!
ham,Can we push the meeting to next week?
ham,Just checking in to see if you received my previous message.
spam,Limited time offer: Get a 75% discount on all services. Sign up today!
ham,Looking forward to working with you.
ham,Let me know if you're free for a call later today.
spam,Important: Your subscription is about to expire. Renew today!
ham,Hope you're doing well! Looking forward to hearing from you soon.
ham,Do you have any questions about the project?
spam,Alert: Your account has been compromised. Reset your password immediately.
ham,Can you let me know if you're available for a quick chat?
spam,Exclusive offer: Get a $3000 loan with no interest. Apply now!
ham,Just checking in to see how everything is going.
ham,Would you be interested in joining the webinar?
spam,Get a $500 gift card with your first purchase. Limited time offer!
ham,Looking forward to your feedback.
ham,Can we reschedule the meeting to next week?
spam,You’ve been selected for an exclusive prize. Claim it now before it expires!
ham,Would you be available for a call tomorrow?
ham,Let me know if you need any further information.
ham,Let me know if you're free to meet this week.
spam,Congratulations! You've won a free iPhone. Click here to claim your prize now!
ham,Do you have the final report ready for review?
ham,Looking forward to the meeting next week.
spam,Get a free credit report. Act now before the offer expires.
ham,Can you send me the updated documents?
ham,Let me know if you're available for a quick call.
spam,Special offer: Get a $1000 gift card with no purchase required. Click here!
ham,I will send you the presentation by tomorrow.
spam,Your account has been flagged for suspicious activity. Click here to verify now.
ham,Hope you’re doing well. Let’s catch up soon!
ham,Can you confirm if you're available tomorrow?
spam,You have a limited time to claim your free vacation. Act fast!
ham,Let me know if you need anything else.
ham,Looking forward to your thoughts on the proposal.
spam,Final notice: You’ve won a $2000 gift card. Click here to claim it!
ham,Can you send me the project timeline?
spam,Click here to unlock a special offer available only for today!
ham,Would love to meet you for coffee this weekend.
ham,Do you need help with the presentation?
spam,"Exclusive deal: 50% off on all items. Hurry, offer ends soon!"
ham,Can you please confirm the meeting time?
ham,Let me know if you’re interested in attending the event.
spam,Important: Your subscription is about to expire. Renew now to avoid service disruption.
ham,Would you be available to discuss the project next week?
ham,Looking forward to hearing your thoughts on the draft.
spam,Get a loan with no credit check. Apply now before it’s too late!
ham,Can you send me the final version of the report?
ham,Hope everything is on track with the project.
spam,Urgent: Your account is suspended. Click here to reactivate it immediately.
ham,I will send the feedback to you shortly.
ham,Let me know if you’re available for a quick chat.
spam,You’ve been selected for a special offer. Claim it before it expires!
ham,Do you need assistance with the final project details?
ham,Can you confirm the meeting location?
spam,Exclusive opportunity: Get a free consultation. Click here to schedule now.
ham,Looking forward to seeing you at the meeting tomorrow.
spam,Congratulations! You’ve won a free vacation. Claim your prize now!
ham,Can you send me the presentation slides?
ham,Let me know if you need anything else from me.
spam,Last chance to claim your $500 gift card. Click here to redeem it now!
ham,Hope you’re having a good day. Let me know if you need anything.
ham,Do you have any updates on the schedule?
spam,Hurry! You have just one hour left to claim your exclusive discount.
ham,Would you be free to meet tomorrow?
spam,Final reminder: Your account has been flagged. Verify now to avoid suspension.
ham,Can you send me the document I requested?
ham,Let me know if you need help with the analysis.
spam,Alert: Your package is on hold. Click here to resolve the issue.
ham,Just following up on the meeting request.
spam,Claim your free iPad today! Limited quantities available.
ham,Looking forward to hearing from you soon.
ham,Can you confirm if you're available for a call?
spam,Congratulations! You’ve won a $1000 shopping voucher. Claim it now!
ham,Hope everything is good with the project.
spam,Get a free loan of up to $5000. Apply now!
ham,Would you be available for a call later today?
ham,Let me know if you're available for a quick meeting.
spam,You have an urgent message waiting for you. Click here to view it.
ham,Hope you’re having a great week so far.
ham,Can you confirm your availability for next week?
spam,You’ve won a $5000 shopping spree! Claim your prize now.
ham,Let me know if you need any clarification.
ham,Can you confirm the agenda for the meeting?
spam,Limited time offer: Get 50% off on all services. Act fast!
ham,Looking forward to our meeting tomorrow.
ham,Let me know if you need help with the project presentation.
spam,Important: You have a free gift waiting for you. Click here to claim it.
ham,I will send you the updated version shortly.
ham,Let me know if you’re available for a call tomorrow.
spam,Claim your free vacation today! Click here for more details.
ham,Do you need any help with the upcoming event?
spam,Exclusive offer: Get a $3000 loan with no interest. Apply now!
ham,Can you send me the finalized documents?
ham,Looking forward to hearing your feedback.
spam,Congratulations! You've won a $500 gift card. Claim it now!
ham,Let me know if you need anything from me for the project.
ham,Can you send me the list of attendees for the meeting?
spam,You’ve won a $500 bonus. Claim it before it expires!
ham,Can you confirm if you're available to meet this week?
spam,Alert: Your account has been compromised. Reset your password now!
ham,Looking forward to meeting you soon.
ham,Let me know if you're available for a call later today.
spam,Final notice: Claim your free prize before it expires!
ham,Can you send me the updated project timeline?
ham,Hope you're doing well. Looking forward to seeing you at the meeting.
spam,Get a free consultation on your credit score. Call us today!
ham,Can you send me the final version of the report?
ham,Would you be available for a quick call this afternoon?
spam,You have a limited time to claim your prize. Click here now!
ham,Let me know if you need assistance with the proposal.
